dataset,m,ef_construction,threads,partition_method,intercept,slope_per_ln_p,r_squared,points
bigann10k,16,200,1,range,19.613300000000713,439.63573472783673,0.9993121349919412,4
bigann100k,16,200,1,range,-28.926524999999494,412.2384812546868,0.9993456582717435,4
bigann1m,16,200,1,range,6.633375000000427,381.59768966574495,0.9997573139049343,4
