dataset,n,dim,builder,algorithm,n_parts,m,ef_construction,threads,params,mono_build_calc,partition_build_calc,merge_calc,partition_total_calc,build_saving_calc,net_advantage_calc,merge_to_budget_ratio,partition_wins,run_key,build_saving_per_point,merge_per_point,net_advantage_per_point
bigann100k,100000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":20}",280698647,254160691,66180886,320341577,26537956,-39642930,2.4938200214063206,False,7fd1fee2e036,265.37956,661.80886,-396.4293
bigann100k,100000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,101600002,355760693,26537956,-75062046,3.8284788022106904,False,79468f33d1ce,265.37956,1016.00002,-750.62046
bigann100k,100000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,153099590,407260281,26537956,-126561634,5.76907995476366,False,04c67414f41f,265.37956,1530.9959,-1265.61634
bigann100k,100000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":16,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,23677252,277837943,26537956,2860704,0.8922033030727762,True,075c30de1c1e,265.37956,236.77252,28.60704
bigann100k,100000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":32,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,39743544,293904235,26537956,-13205588,1.4976113458022162,False,7a771c8460b6,265.37956,397.43544,-132.05588
bigann100k,100000,128,hnswmerger,SIGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":48,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,54739663,308900354,26537956,-28201707,2.0626932609278574,False,f6dfcb98d9c9,265.37956,547.39663,-282.01707
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":1,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,7620091,261780782,26537956,18917865,0.28713933356434834,True,fe04f982f9af,265.37956,76.20091,189.17865
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":10,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,27547676,281708367,26537956,-1009720,1.0380481450794476,False,073b10d14329,265.37956,275.47676,-10.0972
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":2,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,10217593,264378284,26537956,16320363,0.3850180850401591,True,1c3e2c30709f,265.37956,102.17593,163.20363
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":20,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,47654615,301815306,26537956,-21116659,1.795715352003749,False,14ff66ef6e15,265.37956,476.54615,-211.16659
bigann100k,100000,128,hnswmerger,TWO_MERGE,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",280698647,254160691,14773071,268933762,26537956,11764885,0.5566770477726318,True,7bd1011276cf,265.37956,147.73071,117.64885
bigann10k,10000,128,hnswmerger,CGTM,2,16,200,1,"{""jump_ef"":15,""local_ef"":5,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19031205,15868251,3591501,19459752,3162954,-428547,1.1354894823004065,False,c7d99249dff5,316.2954,359.1501,-42.8547
bigann10k,10000,128,hnswmerger,IGTM,2,16,200,1,"{""jump_ef"":5,""local_ef"":7,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":3,""next_step_k"":3,""search_M"":5,""search_ef"":40}",19031205,15868251,2921235,18789486,3162954,241719,0.9235780855491417,True,395390ebb9db,316.2954,292.1235,24.1719
bigann10k,10000,128,hnswmerger,NGM,2,16,200,1,"{""jump_ef"":40,""local_ef"":10,""merge_ef_construction"":-1,""merge_lambda"":4,""next_step_ef"":6,""next_step_k"":6,""search_M"":40,""search_ef"":40}",19031205,15868251,7669388,23537639,3162954,-4506434,2.4247548336144,False,93b79fcec487,316.2954,766.9388,-450.6434
