builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc32,j15,l5,nsk3,sM5",739656444,437785171,1177441615,63.416000000000004,48.496,0.9833,1892.8529341911737
hnswmerger,IGTM,2,"M16,efc32,j5,l7,nse3,nsk3,sM5",739656444,323016381,1062672825,63.416000000000004,31.688,0.9815,1934.8157439999989
hnswmerger,INSERT,1,"M16,efc32",802236542,0,802236542,79.159,0.0,,
hnswmerger,NGM,2,"M16,efc32,sef10",739656444,442309904,1181966348,63.416000000000004,44.907,0.9844,1807.1629230107496
hnswmerger,NGM,2,"M16,efc32,sef20",739656444,625274619,1364931063,63.416000000000004,66.744,0.9875000000000002,1668.3102829457357
hnswmerger,SIGM,2,"M16,efc32",739656444,428245185,1167901629,63.416000000000004,42.339,,
hnswmerger,TWO_MERGE,2,"M16,efc32,lam4",739656444,136649924,876306368,63.416000000000004,11.995,0.9918,1830.0334231671545
