family,regime,method,n,n_parts,ef_construction,build_calc,merge_calc,total_calc,total_per_vector,total_vs_monolithic_same_regime,quality_available,reaches_recall_0_95,max_recall,d_s_at_0_95,construction_run_key,quality_run_key,source_file,quality_file,index_sha256
merge,efc32,CGTM,1000000,2,32,739656444,437785171,1177441615,1177.441615,1.46769880622,True,True,0.9833,1892.85293419,91aca802b6d0,c64d12816bb9,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,CGTM,1000000,4,32,691186084,769630254,1460816338,1460.816338,1.82092969034,True,True,0.9771,2355.39432812,8a01d24c5cf9,4ce39d0ad5e7,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,CGTM,1000000,8,32,639357482,1077454537,1716812019,1716.812019,2.14003218392,True,True,0.9645,3099.24546429,f4866d39d8bc,00727fe4300c,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,CGTM,1000000,16,32,581584279,1348301218,1929885497,1929.885497,2.40563150139,True,False,0.9448,,897af163db13,42fd10a0a697,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,NGM,1000000,2,32,739656444,442309904,1181966348,1181.966348,1.47333895444,True,True,0.9844,1807.16292301,91aca802b6d0,1374b76b281b,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,NGM,1000000,4,32,691186084,779979273,1471165357,1471.165357,1.83382989926,True,True,0.9788,1974.29543125,8a01d24c5cf9,ceb6a742e2a3,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,NGM,1000000,8,32,639357482,1093915978,1733273460,1733.27346,2.16055161945,True,True,0.9702,2609.92163563,f4866d39d8bc,855414e47b4c,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,NGM,1000000,16,32,581584279,1371248294,1952832573,1952.832573,2.43423537917,True,True,0.9575,3138.92095411,897af163db13,e3cb4d6379aa,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,HNSWMerger,1000000,2,32,739656444,136649924,876306368,876.306368,1.09232915994,True,True,0.9918,1830.03342317,91aca802b6d0,1af9708783b6,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,HNSWMerger,1000000,4,32,691186084,284924714,976110798,976.110798,1.21673689354,True,True,0.9923,2016.89796257,8a01d24c5cf9,e40e061ce3bd,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,HNSWMerger,1000000,8,32,639357482,439931066,1079288548,1079.288548,1.34534952161,True,True,0.9925,2279.36279517,f4866d39d8bc,c0d4face0970,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
merge,efc32,HNSWMerger,1000000,16,32,581584279,593796356,1175380635,1175.380635,1.46512976344,True,True,0.9926,2493.29969076,897af163db13,c59fea3990e8,results/build_budget_bigann_efc32.jsonl,results/total_cost_bigann1m_efc32.jsonl,
