regime,method,n_parts,ef,recall,d_s
efc32,CGTM,2,50,0.8100999999999999,677.9452
efc32,CGTM,2,100,0.903,1144.3718
efc32,CGTM,2,200,0.9574000000000001,2010.6989
efc32,CGTM,2,400,0.9833,3583.5856
efc32,CGTM,4,10,0.42060000000000003,250.179
efc32,CGTM,4,50,0.7613,669.7507
efc32,CGTM,4,100,0.8727,1136.3903
efc32,CGTM,4,200,0.9426,2011.9016
efc32,CGTM,4,400,0.9771,3613.3204
efc32,CGTM,8,10,0.36210000000000003,241.7295
efc32,CGTM,8,50,0.7058,657.3201
efc32,CGTM,8,100,0.8317,1115.8477
efc32,CGTM,8,200,0.9169,1984.2696000000003
efc32,CGTM,8,400,0.9645,3587.679
efc32,CGTM,16,10,0.3264,234.2381
efc32,CGTM,16,50,0.6514,638.8884
efc32,CGTM,16,100,0.7811,1083.4763
efc32,CGTM,16,200,0.8813,1932.7533
efc32,CGTM,16,400,0.9448,3512.0319
efc32,NGM,2,10,0.5334,264.903
efc32,NGM,2,50,0.8344999999999999,683.2963
efc32,NGM,2,100,0.9151000000000001,1154.082
efc32,NGM,2,200,0.9616000000000001,2024.2328
efc32,NGM,2,400,0.9844,3598.2255
efc32,NGM,4,10,0.5018,257.2543
efc32,NGM,4,50,0.8097,670.1158
efc32,NGM,4,100,0.8973,1135.3899
efc32,NGM,4,200,0.9517000000000001,2001.3569
efc32,NGM,4,400,0.9788,3575.8727999999996
efc32,NGM,8,10,0.4723,252.7891
efc32,NGM,8,50,0.7793,657.8174
efc32,NGM,8,100,0.8736,1111.1674
efc32,NGM,8,200,0.9354,1959.5278
efc32,NGM,8,400,0.9701999999999998,3509.7816
efc32,NGM,16,10,0.4537,247.0099
efc32,NGM,16,50,0.7528,641.0463
efc32,NGM,16,100,0.8497,1081.0184
efc32,NGM,16,200,0.9174000000000001,1906.8293999999999
efc32,NGM,16,400,0.9575,3422.3776
efc32,HNSWMerger,2,10,0.6017,365.3218
efc32,HNSWMerger,2,50,0.8773,943.6764
efc32,HNSWMerger,2,100,0.9428,1585.0329
efc32,HNSWMerger,2,200,0.9769,2745.3825999999995
efc32,HNSWMerger,2,400,0.9918,4802.1666
efc32,HNSWMerger,4,10,0.5918,383.02119999999996
efc32,HNSWMerger,4,50,0.874,1018.1263
efc32,HNSWMerger,4,100,0.9418000000000001,1723.2807
efc32,HNSWMerger,4,200,0.9776000000000001,3005.1707
efc32,HNSWMerger,4,400,0.9922999999999998,5273.5629
efc32,HNSWMerger,8,10,0.5752,398.84460000000007
efc32,HNSWMerger,8,50,0.8643,1072.6939
efc32,HNSWMerger,8,100,0.9369999999999999,1825.1335
efc32,HNSWMerger,8,200,0.9762999999999998,3198.3036000000006
efc32,HNSWMerger,8,400,0.9925,5634.0383
efc32,HNSWMerger,16,10,0.5617,404.23960000000005
efc32,HNSWMerger,16,50,0.8545000000000001,1097.7346
efc32,HNSWMerger,16,100,0.9312999999999999,1875.7895
efc32,HNSWMerger,16,200,0.9746,3305.6393000000003
efc32,HNSWMerger,16,400,0.9926,5851.6593
