builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",3446547442,575069565,4021617007,339.85900000000004,60.172,0.9968,1466.3777000000036
hnswmerger,CGTM,2,"M16,efc32,j15,l5,nsk3,sM5",739656444,437785171,1177441615,62.941,51.588,0.9833,1892.8529341911737
hnswmerger,CGTM,2,"M16,efc64,j15,l5,nsk3,sM5",1451271692,519330321,1970602013,123.56200000000001,62.359,0.9935,1642.166888118812
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",3446547442,447264331,3893811773,339.85900000000004,40.813,0.9965,1455.163604884319
hnswmerger,IGTM,2,"M16,efc32,j5,l7,nse3,nsk3,sM5",739656444,323016381,1062672825,62.941,32.246,0.9815,1934.8157439999989
hnswmerger,IGTM,2,"M16,efc64,j5,l7,nse3,nsk3,sM5",1451271692,396645671,1847917363,123.56200000000001,38.297,0.9931,1679.249694927534
hnswmerger,INSERT,1,"M16,efc200",3722580816,0,3722580816,411.172,0.0,,
hnswmerger,INSERT,1,"M16,efc32",802236542,0,802236542,76.424,0.0,,
hnswmerger,INSERT,1,"M16,efc64",1577688044,0,1577688044,151.093,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",3446547442,577916416,4024463858,339.85900000000004,55.709,0.9969,1379.4200343511447
hnswmerger,NGM,2,"M16,efc200,sef20",3446547442,802324194,4248871636,339.85900000000004,82.906,0.9974,1319.1492883361918
hnswmerger,SIGM,2,"M16,efc200",3446547442,1990723004,5437270446,339.85900000000004,232.109,,
hnswmerger,SIGM,2,"M16,efc32",739656444,428245185,1167901629,62.941,43.851,,
hnswmerger,SIGM,2,"M16,efc64",1451271692,846167188,2297438880,123.56200000000001,85.69,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam1",3446547442,101604915,3548152357,339.85900000000004,7.554,0.9983999999999998,1664.8656650897228
hnswmerger,TWO_MERGE,2,"M16,efc200,lam10",3446547442,346703546,3793250988,339.85900000000004,29.376,0.9989,1376.1771536130532
hnswmerger,TWO_MERGE,2,"M16,efc200,lam20",3446547442,569996379,4016543821,339.85900000000004,51.616,0.9988,1281.5812501204803
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",3446547442,193966622,3640514064,339.85900000000004,16.319,0.9986,1512.7745510460245
hnswmerger,TWO_MERGE,2,"M16,efc32,lam4",739656444,136649924,876306368,62.941,12.594,0.9918,1830.0334231671545
hnswmerger,TWO_MERGE,2,"M16,efc64,lam4",1451271692,169951886,1621223578,123.56200000000001,14.979,0.9974,1551.6919271347238
