builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",42707266981,6646351186,49353618167,6309.691000000001,1100.385,0.989,2720.952946886447
hnswmerger,CGTM,4,"M16,efc200,j15,l5,nsk3,sM5",40186286845,11991458893,52177745738,5064.33,1944.975,0.9811,3451.960594369972
hnswmerger,CGTM,8,"M16,efc200,j15,l5,nsk3,sM5",37561039436,16905175872,54466215308,4101.531,2690.9719999999998,0.9643,4786.461024999995
hnswmerger,CGTM,16,"M16,efc200,j15,l5,nsk3,sM5",34955609116,21032023796,55987632912,3427.0000000000005,3216.938,0.9387,5198.3255
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",42707266981,5023845875,47731112856,6309.691000000001,707.659,0.9882,2731.88685
hnswmerger,IGTM,4,"M16,efc200,j5,l7,nse3,nsk3,sM5",40186286845,8946441735,49132728580,5064.33,1172.877,0.9786,3652.7922118556685
hnswmerger,IGTM,8,"M16,efc200,j5,l7,nse3,nsk3,sM5",37561039436,12458141639,50019181075,4101.531,1511.911,0.9574000000000001,5033.53022880794
hnswmerger,IGTM,16,"M16,efc200,j5,l7,nse3,nsk3,sM5",34955609116,15336164451,50291773567,3427.0000000000005,1787.33,0.9283,5126.7023
hnswmerger,INSERT,1,"M16,efc200",45127233081,0,45127233081,7585.014,0.0,,
