builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",15868251,3591501,19459752,0.687,0.13,0.9997000000000001,450.9248544914918
hnswmerger,CGTM,4,"M16,efc200,j15,l5,nsk3,sM5",12674641,5353248,18027889,0.567,0.199,0.9989,536.7315790020785
hnswmerger,CGTM,8,"M16,efc200,j15,l5,nsk3,sM5",9583170,6570296,16153466,0.455,0.254,0.9953,610.3516637795275
hnswmerger,CGTM,16,"M16,efc200,j15,l5,nsk3,sM5",6740999,7284635,14025634,0.34500000000000003,0.311,0.9892,761.7776315649862
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",15868251,2921235,18789486,0.687,0.1,0.9998,447.38107168949756
hnswmerger,IGTM,4,"M16,efc200,j5,l7,nse3,nsk3,sM5",12674641,4359759,17034400,0.567,0.15699999999999997,0.9988,523.7501043668119
hnswmerger,IGTM,8,"M16,efc200,j5,l7,nse3,nsk3,sM5",9583170,5339660,14922830,0.455,0.199,0.9960999999999999,610.9281016207459
hnswmerger,IGTM,16,"M16,efc200,j5,l7,nse3,nsk3,sM5",6740999,5936423,12677422,0.34500000000000003,0.22999999999999998,0.9882,792.1708749999989
hnswmerger,INSERT,1,"M16,efc200",19031205,0,19031205,0.804,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef10",15868251,3565925,19434176,0.687,0.113,0.9998999999999999,428.50372425531896
hnswmerger,NGM,4,"M16,efc200,sef10",12674641,5400934,18075575,0.567,0.185,0.9994,409.16264220750554
hnswmerger,NGM,8,"M16,efc200,sef10",9583170,6765109,16348279,0.455,0.236,0.9983999999999998,407.8771904899129
hnswmerger,NGM,16,"M16,efc200,sef10",6740999,7747356,14488355,0.34500000000000003,0.28300000000000003,0.9973,444.5555655172411
hnswmerger,SIGM,2,"M16,efc200",15868251,10820637,26688888,0.687,0.443,,
hnswmerger,SIGM,4,"M16,efc200",12674641,15795374,28470015,0.567,0.649,,
hnswmerger,SIGM,8,"M16,efc200",9583170,17815495,27398665,0.455,0.743,,
hnswmerger,SIGM,16,"M16,efc200",6740999,18635355,25376354,0.34500000000000003,0.782,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",15868251,1033751,16902002,0.687,0.033,0.9998999999999999,591.9902319493317
hnswmerger,TWO_MERGE,4,"M16,efc200,lam4",12674641,1903598,14578239,0.567,0.061,1.0,629.7291525096524
hnswmerger,TWO_MERGE,8,"M16,efc200,lam4",9583170,2642544,12225714,0.455,0.08600000000000001,0.9998999999999999,637.8811094975489
hnswmerger,TWO_MERGE,16,"M16,efc200,lam4",6740999,3268576,10009575,0.34500000000000003,0.104,0.9998999999999999,645.0118996543777
