builder,algo,n_parts,params_id,build_calc,merge_calc,total_calc,build_seconds,merge_seconds,recall@10,d_s@0.95
hnswmerger,CGTM,2,"M16,efc200,j15,l5,nsk3,sM5",15868251,3591501,19459752,0.69,0.128,0.9997000000000001,450.9248544914918
hnswmerger,IGTM,2,"M16,efc200,j5,l7,nse3,nsk3,sM5",15868251,2921235,18789486,0.69,0.1,0.9998,447.38107168949756
hnswmerger,INSERT,1,"M16,efc200",19031205,0,19031205,0.806,0.0,,
hnswmerger,NGM,2,"M16,efc200,sef40",15868251,7669388,23537639,0.69,0.27,1.0,443.1005383062254
hnswmerger,SIGM,2,"M16,efc200",15868251,10820637,26688888,0.69,0.448,,
hnswmerger,TWO_MERGE,2,"M16,efc200,lam4",15868251,1033751,16902002,0.69,0.033,0.9998999999999999,591.9902319493317
