node_id,degree,neighbours
45,28,5114 10867 1053 15455 707 6111 11457 13985 5965 5774 19163 21025 22633 23149 23292 23679 25201 26033 27996 28604 30108 33517 36335 38523 41329 43701 48941 49200
46,23,1549 4645 14581 15815 17343 6955 15213 13134 15921 8498 15243 3569 22029 22162 22293 24517 24755 28830 29376 33307 34020 35934 37720
47,25,11545 2549 7994 2242 4970 17349 21859 18989 2654 25672 7654 28609 4019 2508 15291 8790 29417 34054 34787 36114 36423 36532 38229 41196 47699
48,23,537 11582 7877 2174 8205 9294 12073 5642 4648 2274 4447 14036 10465 15436 15614 18393 20252 20361 27149 27171 27194 28469 34867
49,15,2841 29417 19734 37991 4784 16232 7751 21330 1551 15722 41439 41485 46704 49526 49669
50,32,7197 23186 15858 15598 46311 730 26437 20006 13011 14164 19035 8551 23987 16716 20677 23380 19456 13425 48377 37373 2467 43951 23297 38218 2986 1577 8203 18072 29404 10041 15137 9284
51,22,695 5575 8752 2199 38747 7125 41653 8355 41611 1845 2186 1326 1977 27911 42884 8662 42010 44528 35139 49511 49541 49954
52,26,13882 18056 6872 17181 17499 4739 16022 15393 25112 21995 9392 22338 6054 23464 13560 10455 14947 22953 29009 30225 36271 37489 42631 43107 45901 46242
53,26,11151 35092 15025 28477 25324 25299 505 13510 20822 25074 38598 9170 47424 36269 5961 6053 40286 18211 41103 38332 942 18925 15487 6648 43739 49745
54,23,2096 5682 14777 2292 18359 20677 1373 15599 730 20461 4263 5258 13014 23316 24988 26573 28766 29031 29226 35362 35463 36011 43643
55,28,22781 14833 9637 10232 154 4047 2391 773 854 19346 22353 4045 23850 16799 193 27502 29146 29320 30140 30167 30547 30591 32884 33389 36891 41997 43255 49431
56,16,10873 7387 21701 23653 3724 23158 15483 34740 9188 34972 33589 7742 33761 23326 43736 49824
57,30,3839 71 1518 4606 5099 4911 2903 5591 7169 7974 8006 9187 9966 10073 11510 15085 15196 16473 17341 18346 18541 19548 22314 22943 32714 33561 34131 43987 45859 48788
58,26,15751 23049 2736 25420 23077 15933 21189 15606 35986 14437 35492 14484 8279 35580 36680 5012 37409 37651 39768 40587 42532 43803 47815 48702 49359 49693
59,31,38958 29703 1716 14630 34129 10003 12165 18194 25300 11810 8005 47275 35851 17988 15911 28096 29550 25062 46060 46039 47207 24332 47816 34089 14438 17308 47502 34158 26580 4683 15666
60,27,1702 2420 3964 20820 1680 23588 15949 1772 7421 21413 8447 11965 20791 20533 12429 17495 13562 18925 23791 27060 28791 29684 29916 32979 39608 43087 47117
61,25,9498 15491 1786 16033 15770 14951 674 10150 3543 7907 11803 17067 18193 21186 21189 24444 25156 25424 28904 30232 34673 35601 37564 41926 48209
62,21,1002 3268 722 6477 16032 8445 9499 22833 2521 24162 19461 10000 14529 15096 25155 29354 29580 35554 36470 36540 43613
63,23,431 1570 18286 260 201 8522 5566 1596 13598 12571 19653 2027 2636 5607 25027 27081 32810 32976 35988 37753 41491 45023 47597
64,32,10877 1175 13739 15662 6690 8605 8895 11554 12192 1759 9111 9415 9453 7397 9436 8224 16269 17237 17377 20017 22204 24001 24364 25065 25366 25609 26922 30888 40035 41128 42956 47504
65,31,10316 1202 789 4124 14349 13210 14721 12321 18560 107 8012 3466 16509 10310 13953 18681 19111 20469 23304 24852 25031 25103 26966 27231 28382 29330 30118 32464 40697 43407 45398
66,19,385 19239 34725 28589 16412 11777 15698 19668 8013 8874 42500 25102 44623 30859 24835 32463 3363 47836 49645
67,29,14262 22601 11528 19124 27971 8422 32046 25749 24249 5632 23948 24109 18281 34354 9575 20020 13205 21503 24575 30934 11502 35087 37714 38697 39244 39791 41444 48106 48765
68,24,11601 1038 4187 28093 9065 4369 5441 1978 15688 6602 313 23437 17121 10978 3703 18668 20423 127 9555 34158 34755 45776 49635 49756
69,19,2317 8482 2240 1216 4368 10977 12438 6601 31197 14702 8279 1870 8385 36912 39086 39090 40592 48401 49755
70,20,15830 15643 23594 30048 228 73 28284 14119 5325 8852 39740 7141 39940 31415 20285 20089 40124 40129 40964 42458
71,26,4197 7714 7671 8452 17453 1153 29245 10586 13884 7716 11546 24741 8635 15196 17508 15031 33930 15822 676 23720 34325 35148 36734 42017 42219 49895
72,27,4527 8979 25389 15044 32822 2517 16141 16002 8219 34144 28883 27014 25522 36240 21947 27006 33837 14494 15817 16316 33927 25192 16386 10540 22224 39263 39618
73,23,6823 3884 6341 7558 7605 330 9509 191 70 18305 278 11911 12508 27519 27699 28281 30775 34075 35625 43579 45631 46375 46710
74,21,79 6954 2409 85 24469 6342 27698 30776 14659 28519 14501 20021 277 6794 4711 31520 42799 45422 46376 48919 49745
75,22,15933 34686 10614 12955 26159 16249 21820 1195 2278 31364 25156 12406 10150 36055 16290 42635 10007 42763 45360 47066 47070 48172
